_dataobs_,Pool,Horses,Sold_Price,City_Town_Code,Approx_SQFT,Bedrooms_Plus,Year_Built,__Bedrooms,__Bathrooms,__of_Interior_Levels,Exterior_Stories,Elementary_School,Jr__High_School,High_School,Elem_School_Dist__,High_School_Dist__,Approx_Lot_SqFt,Dwelling_Styles,Loan_Type
17565,Private,N,371000,Chandler,1682,4,1980,4,2,1,1,Pomeroy,Hendrix,Dobson,4,4,6885,Detached,Conventional
17566,Private,N,368000,Chandler,1746,3,1995,3,2.5,2,2,Kyrene de las Manita,Kyrene del Pueblo,Mountain Pointe,28,213,6196,Detached,Conventional
17567,Community,N,367250,Chandler,1923,4,2015,3,2.5,2,2,CTA Liberty,Willis,Perry,80,80,2442,Detached,Conventional
17569,None,N,359900,Fountain Hills,1290,3,1986,3,2,1,1,McDowell Mountain,Fountain Hills Middl,Fountain Hills,98,98,11326,Detached,VA
17570,Private,N,355000,Chandler,1613,4,1985,4,2,1,1,Shumway,Willis,Chandler High,80,80,7448,Detached,Conventional
17571,Community,N,348000,Chandler,1788,3,2003,2,2,1,1,Adult,Adult,Adult,80,80,7226,Detached,FHA
17572,Private,N,345000,Chandler,1441,3,1997,3,2,1,1,Sanborn,Willis,Hamilton,80,80,6055,Detached,Conventional
17573,Both,N,340000,Chandler,1685,4,1987,4,3,2,2,Sanborn,John M Andersen Jr H,Chandler High,80,80,5907,Detached,Conventional
17575,None,N,315000,Chandler,1417,3,1993,3,2,1,1,Kyrene de las Brisas,Kyrene Aprende,Corona del Sol,28,213,3881,Detached,Conventional
17576,Community,N,311000,Chandler,1387,3,2002,3,2,1,1,Jane D. Hull,Santan Junior High,Basha High,80,80,5293,Detached,Cash
17577,None,N,305000,Chandler,1687,4,1979,3,2,1,1,Erie,John M Andersen Jr H,Chandler High,80,80,7131,Detached,Conventional
17578,None,N,235000,Tempe,969,2,1975,2,1,1,1,Frank Elementary Sch,Gililland,Tempe High School,3,213,6926,Detached,Conventional
17579,Both,N,1395000,Scottsdale,4174,5,1998,5,5,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,19516,Detached,Conventional
17580,Private,N,1100000,Chandler,4469,5,2007,4,4.5,1,1,Ira A. Fulton,Bogle Junior High,Hamilton,80,80,13067,Detached,VA
17581,Both,N,1052000,Scottsdale,3907,5,1993,5,4.5,1,1,Laguna,Mountainside,Desert Mountain High,48,0,16158,Detached,Other
17582,Private,N,990000,Chandler,4323,7,2006,5,4.5,2,2,CTA Independence,Bogle Junior High,Hamilton,80,80,14426,Detached,Conventional
17585,Private,N,850000,Chandler,3543,4,2010,4,3.5,1,1,John & Carol Carlson,Willie & Coy Payne J,Basha Elementary Sch,80,80,15101,Detached,Conventional
17587,None,N,810000,Scottsdale,2768,3,1996,2,2.5,1,1,Cochise,Cocopah,Chaparral High,48,48,7750,Detached,Other
17589,Private,N,760000,Scottsdale,2665,3,1996,3,2,1,1,Anasazi Elementary,Mountainside,Desert Mountain High,48,48,10263,Detached,Conventional
17593,Private,N,609000,Scottsdale,2441,4,1995,3,3,2,2,Sonoran Sky Scotts,Desert Shadows Scott,Horizon School,69,69,7646,Detached,Conventional
17594,Private,N,595000,Chandler,3485,7,2005,6,3.5,2,2,Ira A. Fulton,San Tan,Hamilton,80,80,10909,Detached,Conventional
17595,Private,N,575000,Scottsdale,2214,4,1977,3,3,1,1,Liberty Scottsdale,Sunrise Middle,Horizon School,69,69,10720,Detached,Conventional
17597,None,Y,547000,Scottsdale,1728,2,1980,2,2,1,1,Desert Sun,Sonoran Sky Scotts,Cactus Shadows,93,93,83156,Detached,VA
17598,None,N,497000,Chandler,2758,4,2006,4,2.5,1,1,Haley Elementary,San Tan,Perry,80,80,10952,Detached,Conventional
17599,None,N,489500,Scottsdale,2132,4,1978,4,2,1,1,Desert Springs,Desert Shadows Scott,Horizon School,89,89,13965,Detached,Cash
17600,None,N,485000,Chandler,2700,5,1991,5,3,3,3,John M. Andersen,John M Andersen Jr H,Chandler High,80,80,8978,Detached,Other
17601,None,N,470000,Scottsdale,1482,3,1959,3,2,1,1,Pima,Pima,Coronado High,48,48,6698,Detached,Conventional
17602,Private,N,465000,Chandler,2350,5,2001,4,3,2,2,Robert and Danell Ta,Bogle Junior High,Hamilton,80,80,7605,Detached,Conventional
17603,Private,N,392000,Chandler,1558,3,1980,3,2,1,1,Johnson,John M Andersen Jr H,Chandler High,80,80,8546,Detached,Conventional
17604,Private,N,379000,Chandler,1754,3,1982,3,2,1,1,Sirrine,Hendrix,Dobson,4,4,7967,Detached,Conventional
17605,Community,N,374000,Chandler,1894,3,2004,2,2,1,1,Adult,Adult,Adult,80,80,6500,Detached,Conventional
17607,None,N,365000,Chandler,1691,4,2013,3,2,1,1,Basha Elementary Sch,San Tan,Hamilton,80,80,4571,Detached,Conventional
17608,Private,N,360000,Chandler,1553,3,1994,3,2,1,1,Sanborn,Willis,Chandler High,80,80,6599,Detached,Conventional
17609,None,N,340000,Chandler,2171,4,2001,4,2,1,1,Jane D. Hull,San Tan,Basha High,80,80,7015,Detached,Conventional
17610,Community,N,337000,Chandler,1648,3,2000,3,2.5,2,2,Jane D. Hull,Santan Junior High,Basha High,80,80,3751,Detached,Other
17611,Private,N,335000,Scottsdale,1374,3,1973,3,2,1,1,Hohokam Scottsdale,Supai,Coronado High,48,48,4816,Detached,Cash
17612,Private,N,334000,Tempe,1288,3,1969,3,2,1,1,Meyer,Connolly,McClintock,3,213,6303,Detached,FHA
17613,None,N,332000,Tempe,1304,3,1974,3,2,1,1,Kyrene del Norte,Kyrene Middle,Marcos De Niza,28,213,8590,Detached,Conventional
17615,None,N,320000,Chandler,1379,3,2003,3,2,1,1,San Tan,Santan Junior High,Hamilton,80,80,6756,Detached,FHA
17617,None,N,278000,Chandler,1900,5,1941,4,3,1,1,Frye,Willis,Hamilton,80,80,6917,Detached,FHA
17618,Community,N,258500,Tempe,1166,2,1995,2,2.5,2,2,Kyrene de la Maripos,Kyrene Middle,Marcos De Niza,3,213,3023,Detached,Conventional
17619,Private,N,1500000,Scottsdale,4115,7,1997,5,4,1,1,Pinnacle Peak,Mountain Trail,Pinnacle,69,69,51223,Detached,Other
17620,None,N,1425000,Chandler,5250,6,2021,4,4.5,1,1,T. Dale Hancock,Santan Junior High,Perry,80,80,22305,Detached,Conventional
17622,Private,N,1030000,Scottsdale,3977,6,2002,5,4.5,1,1,Black Mountain,Sonoran Trails,Cactus Shadows,93,93,40464,Detached,Conventional
